Name of Satellite,Country,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime,Year of Launch
1HOPSAT,USA,0.0,566.0,576.0,0.00072,36.9,96.08,22.0,2019-12-11,0.5,2019
Aalto-1,Finland,0.0,497.0,517.0,0.0014541224371092047,97.45,94.7,4.5,2017-06-23,2.0,2017
ABS-2,Multinational,75.0,35778.0,35793.0,0.00017791272787655228,0.08,1436.03,6330.0,2014-02-06,15.0,2014
ABS-2A,Multinational,-75.0,35700.0,35700.0,0.0,0.0,1436.1,1800.0,2016-06-15,15.0,2016
ABS-3A,Multinational,-3.0,35788.0,35803.0,0.00017787053396734297,0.1,1436.0,2000.0,2015-03-02,15.0,2015
ABS-4,Multinational,75.0,35780.0,35793.0,0.00015418737324018834,0.01,1436.1,4143.0,2004-03-13,12.0,2004
ABS-6,Multinational,159.0,35777.0,35794.0,0.00020163442492675927,0.01,1436.08,2894.0,1999-09-26,15.0,1999
ABS-7,Multinational,116.18,35780.0,35791.0,0.00013046933377613835,0.01,1436.06,3500.0,1999-09-04,15.0,1999
USA 235,USA,-120.0,35772.0,35801.0,0.00034395644799734324,2.34,1436.1,6169.0,2012-05-03,14.0,2012
USA 246,USA,152.1,35700.0,35803.0,0.0012226535142385718,4.2,1436.1,6169.0,2013-09-18,14.0,2013
Aeolus,ESA,0.0,314.0,317.0,0.0002243661655822302,96.7,92.4,1367.0,2018-08-22,3.0,2018
Aerocube 6A,USA,0.0,614.0,700.0,0.006119254304824249,97.98,97.88,5.0,2014-06-19,3.0,2014
Aerocube 6B,USA,0.0,614.0,700.0,0.006119254304824249,97.98,97.88,5.0,2014-06-19,3.0,2014
Eutelsat 48D,Multinational,48.0,35764.0,35808.0,0.0005218711452699497,0.12,1436.08,3460.0,2008-12-20,15.0,2008
AIM,USA,0.0,544.0,552.0,0.0005782017924255566,97.9,96.2,215.0,2007-04-25,2.0,2007
AISSat-1,Norway,0.0,615.0,632.0,0.001215414313290913,98.0,97.2,6.0,2010-07-12,3.0,2010
AISSat-2,Norway,0.0,625.0,631.0,0.00042869391254644185,98.4,97.27,6.0,2014-07-08,3.0,2014
AIST-2,Russia,0.0,558.0,582.0,0.001729106628242075,64.88,96.06,53.0,2013-04-19,3.0,2013
Al Yah-3,United Arab Emirates,-20.0,35777.0,35796.0,0.00022535077627412143,0.0,1436.0,3795.0,2018-01-25,15.0,2018
Alcomsat,Algeria,-24.8,35744.0,35798.0,0.0006407062006122304,0.04,1436.1,5225.0,2017-12-10,15.0,2017
Alsat-2B,Algeria,0.0,646.0,660.0,0.0009967250462765201,98.2,97.7,117.0,2016-09-26,5.0,2016
Alsat-1B,Algeria,0.0,661.0,704.0,0.0030485643388869195,98.2,98.4,103.0,2016-09-26,5.0,2016
Alsat-2A,Algeria,0.0,672.0,674.0,0.0001419849495953429,98.1,98.2,130.0,2010-07-12,5.0,2010
Amazonas-2,Spain,-61.0,35767.0,35805.0,0.00045070689818768383,0.03,1436.08,5465.0,2009-10-01,15.0,2009
Amazonas-3,Spain,-61.0,35781.0,35791.0,0.00011860707847044311,0.03,1436.05,6265.0,2013-02-07,15.0,2013
Amazonas-4A,Spain,-61.0,35784.0,35795.0,0.00013045695513466714,0.08,1436.24,2938.0,2014-03-22,15.0,2014
Amazonas-5,Spain,-61.0,35785.0,35789.0,4.74417060037479e-05,0.04,1436.11,5900.0,2017-09-12,15.0,2017
AMC-1,USA,-129.15,35772.0,35800.0,0.00033209981971724073,0.03,1436.1,2783.0,1996-09-08,15.0,1996
AMC-11,USA,-130.93,35774.0,35797.0,0.00027279951607738016,0.04,1436.07,2340.0,2004-05-19,15.0,2004
AMC-15,USA,-105.04,35777.0,35795.0,0.0002134927412467976,0.04,1436.08,4200.0,2004-10-14,15.0,2004
AMC-16,USA,-84.98,35780.0,35793.0,0.00015418737324018834,0.02,1436.1,4312.0,2004-12-17,15.0,2004
AMC-18,USA,-104.97,35773.0,35800.0,0.00032023531365269885,0.06,1436.1,2081.0,2006-12-08,15.0,2006
AMC-2,USA,-100.98,35774.0,35798.0,0.0002846569883290635,0.05,1436.1,2648.0,1997-01-30,15.0,1997
AMC-21,USA,-124.86,35778.0,35793.0,0.00017791272787655228,3.0,1436.1,2500.0,2008-08-14,15.0,2008
AMC-4,USA,-100.99,35781.0,35791.0,0.00011860707847044311,0.01,1436.1,3909.0,1999-11-13,15.0,1999
AMC-6,USA,-71.98,35778.0,35795.0,0.00020162964192947707,0.05,1436.12,3901.0,2000-10-22,15.0,2000
AMC-8,USA,-139.0,35773.0,35798.0,0.00029652121312758714,0.03,1436.07,2015.0,2000-12-19,15.0,2000
Amos 17,Israel,17.0,35777.0,35793.0,0.00018977582730399716,0.0,1436.04,6500.0,2019-08-06,20.0,2019
Anik F1,Canada,-107.27,35778.0,35793.0,0.00017791272787655228,0.02,1436.08,4710.0,2000-11-21,15.0,2000
Anik F1R,Canada,-107.3,35777.0,35795.0,0.0002134927412467976,0.02,1436.1,4500.0,2005-09-09,15.0,2005
Anik F2,Canada,-111.07,35781.0,35790.0,0.00010674763672593138,0.01,1436.08,5910.0,2004-07-18,15.0,2004
Anik F3,Canada,-118.69,35778.0,35794.0,0.000189771325552709,0.01,1436.1,4715.0,2007-04-09,15.0,2007
Anik G1,Canada,-107.3,35773.0,35799.0,0.0003083784040231521,0.01,1436.08,4905.0,2013-04-15,15.0,2013
Apstar 6D,China,134.0,35785.0,35885.0,0.0011846937566639024,0.01,1438.5,5550.0,2020-07-09,15.0,2020
Apstar 7,China,76.5,35864.0,35874.0,0.00011837401453632898,0.03,1440.31,5054.0,2012-03-31,15.0,2012
